,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,1995413,高端技术职位其它,深圳,2017-04-11,5k-10k,63082,深圳易思博软件,深圳市易思博软件技术有限公司
1,2728399,BIDW资深技术,北京,昨天 11:02,15k-30k,46399,会分期,会找房（北京）网络技术有限公司
2,2770108,高级技术专家/架构师,杭州,今天 09:54,25k-40k,91954,求是同创,杭州求是同创网络科技有限公司
3,2920284,售前技术支持（资深）,广州,今天 13:53,15k-30k,31395,灵雀云,北京凌云雀科技有限公司
4,2757653,留学申请顾问（美国高端）,北京,昨天 07:55,8k-16k,110583,出出国,北京美华心成国际教育咨询有限公司
5,2984092,解决方案架构师/资深技术顾问--- 大数据应用方,石家庄,今天 14:19,15k-30k,35347,新智认知,新智认知数据服务有限公司
6,2709391,高级/资深JAVA工程师&amp;技术专家【核心履约方向】,北京,昨天 10:45,20k-40k,50702,美团点评,北京三快在线科技有限公司
7,3025098,高级/资深后端(PHP/Go)/技术管理,北京,今天 10:04,25k-45k,107423,瓜子二手车直卖网,车好多旧机动车经纪(北京)有限公司
8,2524569,技术工程部-高级/资深平台运维工程师,北京,今天 09:24,15k-30k,1537,搜狗,北京搜狗科技发展有限公司
9,3025916,技术专家/高级技术专家,杭州,2017-04-17,30k-50k,153849,蚂蚁金服集团,支付宝(杭州)信息技术有限公司
10,2969793,雷达技术高级工程师,郑州,2017-04-20,17k-33k,13567,宇通客车,郑州宇通客车股份有限公司
11,3073324,资深/高级售前工程师/咨询顾问/解决方案专家/项目经理/技术支持,上海,今天 09:54,18k-25k,83249,帜讯信息,上海帜讯信息技术股份有限公司
12,2660271,JAVA相关的中级/高级/架构师/技术专家等职位,北京,昨天 14:24,20k-40k,159418,奇玖,奇玖（北京）科技有限公司
13,3034944,高级软件技术工程师,深圳,2017-04-19,8K-15K,160243,帕拉卡科技,深圳市帕拉卡科技有限公司
14,2780580,高级技术主管,上海,昨天 08:18,15k-20k,119298,科创365,科众三六五科技股份有限公司
15,2756943,留学咨询顾问（美国高端，欢迎后期顾问转岗）,北京,昨天 07:55,15k-30k,110583,出出国,北京美华心成国际教育咨询有限公司
16,2984984,解决方案架构师/资深技术顾问--- 企业管理应用,石家庄,今天 14:19,15k-30k,35347,新智认知,新智认知数据服务有限公司
17,2962502,高级/资深后端(PHP/Go)/技术管理,北京,今天 10:04,25k-50k,107423,瓜子二手车直卖网,车好多旧机动车经纪(北京)有限公司
18,2180417,高级软件工程师（综合技术）,北京,今天 08:49,15k-25k,18453,中体彩科技发展有限公司,中体彩科技发展有限公司
19,2942273,资深技术专家,南京,2017-04-27,13k-25k,176239,紫光云数,紫光云数科技有限公司
20,2552171,信息技术高级经理,深圳,昨天 09:26,20k-40k,79761,达飞金控,深圳达飞金融控股有限公司
21,3068495,技术部高级经理_江湾城路99号(001150),上海,2017-04-28,15k-25k,23114,上海家化,上海家化联合股份有限公司
22,2077099,高级FE/技术专家--酒店旅游业务,北京,今天 09:41,18k-35k,50702,美团点评,北京三快在线科技有限公司
23,300088,用技术改变房地产行业-诚聘Java架构师/高级工程师/技术经理,上海,2017-04-28,15k-30k,35713,链家上海研发中心,德佑房地产经纪有限公司
24,3072420,C++主程&amp;技术负责人（高级开发）,深圳,昨天 11:26,20k-40k,65303,尼尔林,尼尔林技术咨询（深圳）有限公司
25,3036446,高级技术咨询工程师,北京,2017-04-19,15k-20k,46379,九次方大数据,九次方大数据信息集团有限公司
26,2770105,P2P资深技术专家,上海,昨天 09:32,22k-44k,4832,七牛云,上海七牛信息技术有限公司
27,3040930,测试开发技术专家/高级专家,北京,今天 10:19,30k-48k,61921,人人行(借贷宝),人人行科技有限公司
28,2957504,招聘经理（中高端招聘）,北京,今天 14:55,12k-18k,19313,网宿科技,网宿科技股份有限公司北京分公司
29,2113969,高端SE,深圳,今天 13:52,25k-40k,105664,诚迈,诚迈科技有限公司（深圳）
30,2985177,解决方案架构师/资深技术顾问-云计算及微服务架构,石家庄,今天 14:19,15k-30k,35347,新智认知,新智认知数据服务有限公司
31,2757724,全职留学写作顾问（美国高端）,北京,昨天 07:55,8k-16k,110583,出出国,北京美华心成国际教育咨询有限公司
32,2879749,Oracle 高级技术顾问,北京,今天 10:15,15k-25k,107423,瓜子二手车直卖网,车好多旧机动车经纪(北京)有限公司
33,2529930,广告技术专家/高级工程师,上海,2017-04-28,20k-35k,50702,美团点评,北京三快在线科技有限公司
34,3057132,BD主管/销售主管（市区高端方向）,上海,今天 09:30,10k-15k,12195,要出发,广州酷旅旅行社有限公司
35,2893592,高级软件开发工程师-技术中心-创新应用处,北京,今天 11:16,12k-18k,59178,泛华金融控股集团,泛华保险服务销售集团有限公司
36,3044180,高端制造、大健康、强周期性行业板块研究团队负责人,北京,2017-04-24,20k-30k,196188,北京大数长胜,北京大数长胜资产管理有限公司
37,2986121,高级技术负责人,深圳,2017-04-06,6k-12k,119711,SemiTrip 途中美食,广州途中网络科技有限公司
38,2957177,云数据技术高级工程师,北京,2017-04-25,10k-19k,65533,天维信通,北京天维信通科技有限公司
39,3059037,高级信息技术工程师,上海,2017-04-26,10k-20k,197709,优锐,优锐医药科技（上海）有限公司
40,3032357,招聘专员（技术类）,北京,昨天 09:45,5k-8k,53137,家园网,金色家园网络科技有限公司
41,2949275,【厦门职位】高级招聘专员,厦门,昨天 08:47,8k-15k,19313,网宿科技,网宿科技股份有限公司北京分公司
42,2904056,实验技术员,深圳,今天 09:55,5k-8k,54712,微基因 WeGene,深圳市早知道科技有限公司
43,1773884,技术员,深圳,今天 09:15,4k-8k,102547,智芯,深圳智能表芯科技有限公司
44,2915210,应用工程师（技术型）,深圳,昨天 14:59,7k-14k,17617,Makeblock,深圳市创客工场科技有限公司
45,2766509,高级/资深后端(PHP/Go)/架构师/技术管理,北京,今天 10:04,25k-50k,107423,瓜子二手车直卖网,车好多旧机动车经纪(北京)有限公司
46,2089997,高级数据技术专家,北京,今天 08:35,30k-45k,50702,美团点评,北京三快在线科技有限公司
47,2447096,Passport 高级工程师/架构师--产品技术部(J13257),北京,昨天 10:15,25k-50k,89541,滴滴出行（小桔科技）,滴滴打车（小桔科技）
48,2999193,高级安全技术工程师,深圳,今天 13:49,18k-25k,79761,达飞金控,深圳达飞金融控股有限公司
49,3070100,【东芝热聘】语音技术资深研究员,北京,今天 09:55,20k-35k,113715,东芝(中国)有限公司,东芝(中国)有限公司
50,2737275,高级服务顾问/ERP技术支持（T100),福州,今天 09:47,6k-12k,166140,鼎捷软件,鼎捷软件股份有限公司
51,3026731,招聘专员（技术类）,北京,昨天 09:45,5k-8k,53137,家园网,金色家园网络科技有限公司
52,2930071,跪事业求人才，寻求资深技术合伙人,广州,2017-04-15,30k-50k,150318,努缤讯,广州市努缤讯网络科技股份有限公司
53,2968599,智能化技术高级研究员(整车自适应管控),郑州,2017-04-20,25k-50k,13567,宇通客车,郑州宇通客车股份有限公司
54,2152578,技术员,广州,2017-04-28,2k-3k,77221,铭鸿数据,广东铭鸿数据有限公司
55,2374475,高级安全技术工程师,北京,昨天 09:20,20k-30k,122355,嘉琪科技,北京瑞合广祥科技发展有限公司
56,1158443,运维支持工程师（技术部）,上海,昨天 17:43,5k-10k,44342,春秋航空股份有限公司,春秋航空股份有限公司
57,2909602,北四环安贞店 客服专员、技术支,北京,2017-04-26,3K-6K,149034,弘历软件,北京骏嘉财通科技有限公司
58,2223767,中高端顾问/测试顾问,深圳,2017-04-17,18K-22K,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
59,2865618,高级行业分析师（感知技术方向）,杭州,2017-05-01,15k-20k,127428,中电海康,中电海康集团有限公司
60,2873007,【美团点评】高级/资深 JAVA工程师&amp;技术专家,北京,今天 10:58,30k-50k,50702,美团点评,北京三快在线科技有限公司
61,1453043,ETL工程师（技术部）,上海,昨天 17:43,10k-20k,44342,春秋航空股份有限公司,春秋航空股份有限公司
62,3074171,实习生(技术岗),上海,昨天 15:50,1k-2k,48120,幼狮传播,上海幼狮文化传播有限公司
63,2951714,5G技术和算法研发资深工程师,北京,2017-04-25,20k-30k,114603,中国信通院,中国信息通信研究院
64,2732028,高级技术美术,成都,今天 09:52,15k-25k,8358,风际游戏,成都风际网络科技股份有限公司
65,3059645,Java技术专家/架构师/资深工程师,杭州,2017-04-26,20k-40k,81629,支付宝（杭州）,支付宝（杭州）网络技术有限公司
66,2253528,高级安全技术工程师,北京,今天 08:49,15k-20k,18453,中体彩科技发展有限公司,中体彩科技发展有限公司
67,609732,高级前端开发工程师（技术）,杭州,今天 08:27,12k-20k,21236,微医集团,浙江康健绿线网络技术有限公司
68,2090492,PHPSE/中高端顾问/系统架构设计师,深圳,2017-04-13,18K-23K,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
69,3053121,总经理助理（技术中心）,北京,今天 09:35,10k-18k,53137,家园网,金色家园网络科技有限公司
70,2878958,信息技术部高级产品经理,深圳,昨天 13:12,20k-25k,68278,博时基金管理有限公司,博时基金管理有限公司
71,2909563,专业高端顾问,北京,2017-04-17,6k-11k,124195,丽兹行,北京丽兹行房地产投资顾问有限公司
72,2245989,技术工程部-高级前端开发工程师,北京,今天 09:25,20k-25k,1537,搜狗,北京搜狗科技发展有限公司
73,2969757,网络技术高级工程师,郑州,2017-04-20,17k-33k,13567,宇通客车,郑州宇通客车股份有限公司
74,3062987,技术专家/资深软件架构师,杭州,今天 10:29,25k-40k,10359,酷家乐,杭州群核信息技术有限公司
75,2887931,算法高级工程师/技术专家,北京,今天 13:54,25k-45k,50702,美团点评,北京三快在线科技有限公司
76,999718,高级java工程师（技术部）,上海,昨天 17:43,15k-25k,44342,春秋航空股份有限公司,春秋航空股份有限公司
77,3053033,总经理助理（技术中心）,北京,今天 09:33,10k-18k,53137,家园网,金色家园网络科技有限公司
78,2722821,HRBP-技术部,北京,昨天 18:03,10k-20k,3786,宜信,普信恒业科技发展（北京）有限公司
79,3073123,技术员,西安,昨天 13:49,2K-4K,199571,大陆桥,户县大陆桥置业有限责任公司
80,3076660,高级技术美术/美术TA,成都,今天 10:14,10k-20k,146633,成都千层塔,成都千层塔科技有限公司
81,1430453,工程技术员,深圳,昨天 17:05,4k-5k,8350,万科物业,万科物业发展有限公司
82,2691163,售后/技术/运维工程师（海南）,广州,今天 09:08,3k-5k,15471,高新兴科技集团,高新兴科技集团股份有限公司
83,2657606,技术工程部-平台开发工程师,北京,今天 09:24,15k-30k,1537,搜狗,北京搜狗科技发展有限公司
84,2930343,跪事业求人才，寻求资深前段技术员合伙人！,广州,2017-04-15,30k-50k,150318,努缤讯,广州市努缤讯网络科技股份有限公司
85,2833331,技术经理-互联网平台事业部-技术部,深圳,2017-04-26,25k-35k,29682,人人聚财,深圳市人人聚财金融信息服务有限公司
86,2752933,高级大数据开发工程师（无线技术部）,上海,今天 14:21,15k-30k,5918,驴妈妈旅游网,上海景域文化传播股份有限公司
87,3017776,技术VP-深圳-00282,深圳,2017-04-24,60k-100k,69775,百灵鸟,深圳市泉眼网络科技有限公司
88,3029661,高级开发工程师/技术专家,成都,2017-04-18,20k-40k,80324,蚂蚁金融服务集团(成都),支付宝（中国）网络技术有限公司成都分公司
89,2790982,软件技术,珠海,今天 09:05,6k-8k,89467,南方IT学院,广东南方职业培训学院
90,2904032,广告架构-高级研发工程师/技术专家,北京,2017-04-11,25k-50k,50702,美团点评,北京三快在线科技有限公司
91,1439644,交互设计师（技术部）,上海,昨天 17:43,10k-20k,44342,春秋航空股份有限公司,春秋航空股份有限公司
92,3016078,招聘专（技术方向）,北京,2017-04-17,5k-8k,53137,家园网,金色家园网络科技有限公司
93,1189565,技术工程部-高级应用运维,北京,昨天 10:06,13k-25k,1537,搜狗,北京搜狗科技发展有限公司
94,2896047,技术研发高级工程师（架构师),成都,2017-04-11,9k-15k,33646,久远银海,四川久远银海软件股份有限公司
95,1509581,产品经理（技术方向）,深圳,昨天 08:55,18k-25k,104523,海航-前海航交所,深圳前海航空航运交易中心有限公司
96,2878958,信息技术部高级产品经理,深圳,昨天 13:12,20k-25k,68278,博时基金管理有限公司,博时基金管理有限公司
97,2618492,工程技术员,深圳,昨天 09:55,3k-6k,95529,云天励飞,深圳云天励飞技术有限公司
98,2812800,技术副总监,广州,今天 09:11,20k-35k,81576,卡宝宝,广州卡宝宝互联网金融信息服务股份有限公司
99,2904830,技术工程师,成都,昨天 11:42,4k-7k,40916,无声,四川无声信息技术有限公司
100,2220385,数据开发工程师-互联网平台事业部-技术部,深圳,2017-04-26,10k-20k,29682,人人聚财,深圳市人人聚财金融信息服务有限公司
101,3004772,产品经理（技术中心）,北京,今天 12:12,15k-20k,3522,易宝支付,易宝支付有限公司
102,3021915,技术预研工程师,杭州,今天 08:59,10k-20k,148102,爱WiFi,浙江省公众信息产业有限公司无线运营分公司
103,2778134,技术工程师,上海,昨天 15:47,8k-10k,122355,嘉琪科技,北京瑞合广祥科技发展有限公司
104,2880083,数据技术专家/架构师/资深工程师,杭州,2017-04-10,20K-40K,81629,支付宝（杭州）,支付宝（杭州）网络技术有限公司
105,2910793,广告架构-高级研发工程师/技术专家,北京,2017-04-13,20k-40k,50702,美团点评,北京三快在线科技有限公司
106,2507613,技术工程部-资深运维开发工程师,北京,今天 09:25,15k-30k,1537,搜狗,北京搜狗科技发展有限公司
107,3022813,招聘专员（技术方向）,北京,2017-04-18,5k-8k,53137,家园网,金色家园网络科技有限公司
108,2833135,前端架构师-互联网平台事业部-技术部,深圳,2017-04-26,20k-35k,29682,人人聚财,深圳市人人聚财金融信息服务有限公司
109,3018796,技术工程师,广州,今天 14:48,8k-10k,7099,就医160,深圳市宁远科技股份有限公司
110,2305385,技术助理,天津,昨天 15:56,3k-4k,122689,天津通卡,天津市通卡公用网络系统有限公司
111,2411064,技术副总监,广州,今天 09:24,30k-40k,44841,PPmoney互联网金融平台,万惠投资管理有限公司
112,2677243,高级软件测试工程师(技术方向),北京,2017-05-01,15k-20k,3038,Gridsum 国双,北京国双科技有限公司
113,3026096,高端豪宅顾问,上海,2017-04-17,6k-9k,124195,丽兹行,北京丽兹行房地产投资顾问有限公司
114,2970541,资深服务端开发/技术专家,北京,2017-04-06,20k-30k,1914,阿里巴巴大优酷,合一网络技术（北京）有限公司
115,2980945,技术工程师,北京,昨天 15:47,6k-12k,122355,嘉琪科技,北京瑞合广祥科技发展有限公司
116,3055283,技术布道师,北京,2017-04-25,25k-30k,917,极光,深圳市和讯华谷信息技术有限公司
117,3004316,高级技术服务团队主管,上海,2017-04-11,20k-25k,192334,Kantar Media,艾熹信息技术（上海）有限公司
118,3078313,技术研发,上海,今天 14:09,4K-8K,199830,肯奕,肯奕（上海）真空设备有限公司
119,2995613,技术员,秦皇岛,2017-04-10,5K-9K,178329,江苏宝泰建设,江苏宝泰建设工程有限公司
120,2951754,广告架构-高级研发工程师/技术专家,北京,2017-04-12,30K-50K,50702,美团点评,北京三快在线科技有限公司
121,2735114,技术工程部-资深网络工程师-北京-01944,北京,今天 09:25,20k-30k,1537,搜狗,北京搜狗科技发展有限公司
122,3076408,总经理助理（技术中心）,北京,今天 09:52,10k-18k,53137,家园网,金色家园网络科技有限公司
123,2691610,数据挖掘工程师-互联网平台事业部-技术部,深圳,2017-04-26,15k-25k,29682,人人聚财,深圳市人人聚财金融信息服务有限公司
124,2727635,技术工程师,上海,昨天 15:47,5k-10k,122355,嘉琪科技,北京瑞合广祥科技发展有限公司
125,2978555,技术产品经理－技术保障,上海,2017-04-25,25k-50k,51480,饿了么,拉扎斯网络科技（上海）有限公司
126,2955744,高级安全技术服务专家,深圳,今天 10:25,15k-28k,182070,深信服科技集团,深信服科技股份有限公司
127,3063233,IT运维工程师/技术工程师,深圳,今天 10:16,4k-6k,111783,索信达,深圳索信达数据技术股份有限公司
128,2898060,机器人语音技术高级算法工程师,北京,今天 10:21,20k-40k,179148,赛格威机器人,鼎力联合（北京）科技有限公司
129,3032963,技术员,深圳,昨天 10:30,5k-10k,131461,深圳市新威尔电子有限公司,深圳市新威尔电子有限公司
130,3052016,项目管理工程师（技术方向）,广州,今天 14:56,13k-25k,22790,网易游戏,广州博冠信息科技有限公司
131,2848188,资深售前技术顾问／经理,北京,昨天 17:50,12k-18k,47865,飞驰镁物,飞驰镁物（北京）信息服务有限公司
132,2425782,技术主管,深圳,今天 09:08,20k-30k,26864,亿乐谷,深圳市亿乐谷科技有限公司
133,2613210,技术顾问,北京,昨天 16:51,5k-10k,7988,海鼎,上海海鼎信息工程股份有限公司
134,2594160,技术leader（上海）,上海,昨天 10:14,25k-35k,62831,明略数据,北京明略软件系统有限公司
135,3066333,资深算法开发工程师/技术专家,北京,2017-04-27,25k-50k,50702,美团点评,北京三快在线科技有限公司
136,2506687,技术工程部--虚拟化开发工程师,北京,昨天 10:06,15k-30k,1537,搜狗,北京搜狗科技发展有限公司
137,3000643,招聘专员（技术方向）,北京,2017-04-17,5k-8k,53137,家园网,金色家园网络科技有限公司
138,2845286,HRBP/人力资源经理（集团技术部）,北京,昨天 09:36,15k-20k,99089,美利金融,天道计然（北京）信息科技有限责任公司
139,2758021,技术专家,上海,昨天 10:12,20k-40k,33219,斗象科技,上海斗象信息科技有限公司
140,3068108,Java 高级工程师/技术专家,北京,2017-04-28,20k-40k,147,拉勾网,北京拉勾网络技术有限公司
141,3022019,技术咨询顾问,广州,今天 09:41,8k-12k,88751,广州中软,广州中软信息技术有限公司
142,2704241,资深产品经理（懂技术的优先）,杭州,2017-04-18,12k-15k,67516,爽到家,杭州道禅网络科技有限公司
143,1790954,资深JAVA开发工程师/技术专家,杭州,今天 10:40,15k-30k,43906,浙江聚有财,浙江聚有财金融服务外包有限公司
144,2768262,技术工程师,深圳,今天 09:08,6k-10k,15471,高新兴科技集团,高新兴科技集团股份有限公司
145,3036476,HRBP主任（技术中心）,广州,2017-04-19,12k-18k,4760,唯品会,唯品会（中国）有限公司
146,3075822,技术主管,深圳,今天 09:00,20k-30k,148452,布谷鸟科技,深圳布谷鸟信息科技有限公司
147,2921819,技术总师,成都,昨天 10:11,15k-20k,8486,成都微核,成都微核科技有限公司
148,2996769,高分子材料专业储备干部（助理、内贸、外贸、技术）,南京,昨天 08:42,4k-6k,30753,东展北化,南京东展北化新材料科技有限公司
149,2336773,研发（技术）经理,广州,2017-04-29,15K-30K,72967,太普软件,广州太普软件科技有限公司
150,2090226,推荐系统高级工程师/技术专家,北京,今天 08:35,25k-50k,50702,美团点评,北京三快在线科技有限公司
151,2845291,HRBP/人力资源经理（集团技术部）,北京,昨天 09:36,15k-20k,99089,美利金融,天道计然（北京）信息科技有限责任公司
152,3029022,本地化技术工程师,武汉,今天 10:53,6k-8k,25560,传神,传神（中国）网络科技有限公司
153,2233414,招聘（技术类岗位）,上海,今天 09:27,4k-6k,24995,泛微,上海泛微网络科技股份有限公司
154,2845721,技术顾问,贵阳,昨天 16:51,4k-8k,7988,海鼎,上海海鼎信息工程股份有限公司
155,2978789,技术专员,广州,昨天 13:25,4k-6k,149034,弘历软件,北京骏嘉财通科技有限公司
